Country of origin,Year,International total
Holy See,2022,13
Honduras,2017,74206
Honduras,2018,95383
Honduras,2019,148831
Honduras,2020,183391
Honduras,2021,221681
Honduras,2022,238530
Hungary,2017,4992
Hungary,2018,4731
Hungary,2019,4678
Hungary,2020,5219
Hungary,2021,5261
Hungary,2022,2714
Iceland,2017,5
Iceland,2018,10
Iceland,2019,10
Iceland,2020,5
Iceland,2021,12
Iceland,2022,101
India,2017,48282
India,2018,61388
India,2019,77752
India,2020,82357
India,2021,92590
India,2022,99126
Indonesia,2017,17869
Indonesia,2018,15543
Indonesia,2019,16362
Indonesia,2020,17969
Indonesia,2021,19834
Indonesia,2022,20039
Iran (Islamic Rep. of),2017,193718
Iran (Islamic Rep. of),2018,217308
Iran (Islamic Rep. of),2019,215091
Iran (Islamic Rep. of),2020,212247
Iran (Islamic Rep. of),2021,211934
Iran (Islamic Rep. of),2022,207283
Iraq,2017,635163
Iraq,2018,629048
Iraq,2019,639005
Iraq,2020,605767
Iraq,2021,598353
Iraq,2022,585773
Ireland,2017,52
Ireland,2018,59
Ireland,2019,90
Ireland,2020,94
Ireland,2021,146
Ireland,2022,196
Israel,2017,1160
Israel,2018,1175
Israel,2019,1142
Israel,2020,1036
Israel,2021,1260
Israel,2022,1482
Italy,2017,334
Italy,2018,450
Italy,2019,507
Italy,2020,533
Italy,2021,700
Italy,2022,894
Jamaica,2017,3654
Jamaica,2018,3943
Jamaica,2019,4327
Jamaica,2020,4428
Jamaica,2021,4724
Jamaica,2022,4586
Japan,2017,143
Japan,2018,156
Japan,2019,150
Japan,2020,161
Japan,2021,173
Japan,2022,197
Jordan,2017,5586
Jordan,2018,6549
Jordan,2019,7030
Jordan,2020,7470
Jordan,2021,8776
Jordan,2022,9211
Kazakhstan,2017,5920
Kazakhstan,2018,8353
Kazakhstan,2019,9739
Kazakhstan,2020,8719
Kazakhstan,2021,9123
Kazakhstan,2022,9844
Kenya,2017,13281
Kenya,2018,14767
Kenya,2019,15584
Kenya,2020,16381
Kenya,2021,17256
Kenya,2022,17798
Kiribati,2021,5
Kiribati,2022,10
Kuwait,2017,2048
Kuwait,2018,2471
Kuwait,2019,2702
Kuwait,2020,2837
Kuwait,2021,3559
Kuwait,2022,3939
Kyrgyzstan,2017,5341
Kyrgyzstan,2018,5655
Kyrgyzstan,2019,5556
Kyrgyzstan,2020,5578
Kyrgyzstan,2021,5820
Kyrgyzstan,2022,6282
Lao People's Dem. Rep.,2017,7279
Lao People's Dem. Rep.,2018,7237
Lao People's Dem. Rep.,2019,7147
Lao People's Dem. Rep.,2020,7128
Lao People's Dem. Rep.,2021,7252
Lao People's Dem. Rep.,2022,7130
Latvia,2017,267
Latvia,2018,255
Latvia,2019,242
Latvia,2020,235
Latvia,2021,242
Latvia,2022,228
Lebanon,2017,14586
Lebanon,2018,13678
Lebanon,2019,13679
Lebanon,2020,13459
Lebanon,2021,14934
Lebanon,2022,15613
Lesotho,2017,26
Lesotho,2018,44
Lesotho,2019,55
Lesotho,2020,44
Lesotho,2021,47
Lesotho,2022,56
Liberia,2017,9401
Liberia,2018,8494
Liberia,2019,8318
Liberia,2020,8268
Liberia,2021,8474
Liberia,2022,8166
Libya,2017,18047
Libya,2018,20654
Libya,2019,22019
Libya,2020,22963
Libya,2021,24807
Libya,2022,23504
Liechtenstein,2019,14
Liechtenstein,2020,5
Liechtenstein,2021,10
Liechtenstein,2022,5
Lithuania,2017,168
Lithuania,2018,155
Lithuania,2019,137
Lithuania,2020,136
Lithuania,2021,168
Lithuania,2022,158
Luxembourg,2018,5
Luxembourg,2019,5
Luxembourg,2020,5
Madagascar,2017,365
Madagascar,2018,409
Madagascar,2019,562
Madagascar,2020,606
Madagascar,2021,798
Madagascar,2022,966
Malawi,2017,3588
Malawi,2018,3272
Malawi,2019,3084
Malawi,2020,2682
Malawi,2021,2531
Malawi,2022,2506
Malaysia,2017,10018
Malaysia,2018,15854
Malaysia,2019,22165
Malaysia,2020,22532
Malaysia,2021,22037
Malaysia,2022,22038
Maldives,2017,98
Maldives,2018,109
Maldives,2019,86
Maldives,2020,101
Maldives,2021,101
Maldives,2022,193
Mali,2017,165391
Mali,2018,169158
Mali,2019,173048
Mali,2020,175719
Mali,2021,207679
Mali,2022,221842
Malta,2017,5
Malta,2018,15
Malta,2019,20
Malta,2020,15
Malta,2021,12
Malta,2022,15
Marshall Islands,2017,7
Marshall Islands,2018,7
Marshall Islands,2019,7
Marshall Islands,2020,57
Marshall Islands,2021,7
Marshall Islands,2022,11
Martinique,2020,5
Martinique,2022,361
Mauritania,2017,44068
Mauritania,2018,45171
Mauritania,2019,46003
Mauritania,2020,47183
Mauritania,2021,47984
Mauritania,2022,45137
Mauritius,2017,359
Mauritius,2018,450
Mauritius,2019,482
Mauritius,2020,514
Mauritius,2021,549
Mauritius,2022,580
Mexico,2017,96757
Mexico,2018,102664
Mexico,2019,116275
Mexico,2020,127126
Mexico,2021,134339
Mexico,2022,131947
Monaco,2017,5
Monaco,2018,5
Monaco,2019,5
Mongolia,2017,6396
Mongolia,2018,6638
Mongolia,2019,6421
Mongolia,2020,6404
Mongolia,2021,7181
Mongolia,2022,7069
Montenegro,2017,1474
Montenegro,2018,1348
Montenegro,2019,1265
Montenegro,2020,1164
Montenegro,2021,1432
Montenegro,2022,1481
Morocco,2017,9942
Morocco,2018,12036
Morocco,2019,12964
Morocco,2020,12706
Morocco,2021,18017
Morocco,2022,22223
Mozambique,2017,12629
Mozambique,2018,9034
Mozambique,2019,8811
Mozambique,2020,8755
Mozambique,2021,8810
Mozambique,2022,8858
Myanmar,2017,1197830
Myanmar,2018,1175608
Myanmar,2019,1114283
Myanmar,2020,1143452
Myanmar,2021,1221205
Myanmar,2022,1259091
Namibia,2017,1579
Namibia,2018,1663
Namibia,2019,1215
Namibia,2020,1298
Namibia,2021,1356
Namibia,2022,1459
Nauru,2019,15
Nauru,2020,21
Nauru,2021,21
Nauru,2022,21
Nepal,2017,21601
Nepal,2018,17664
Nepal,2019,17974
Nepal,2020,17792
Nepal,2021,18358
Nepal,2022,19045
Netherlands,2017,103
Netherlands,2018,132
Netherlands,2019,157
Netherlands,2020,134
Netherlands,2021,151
Netherlands,2022,159
New Zealand,2017,61
New Zealand,2018,48
New Zealand,2019,61
New Zealand,2020,67
New Zealand,2021,102
New Zealand,2022,78
Nicaragua,2017,4189
Nicaragua,2018,33936
Nicaragua,2019,71245
Nicaragua,2020,70786
Nicaragua,2021,175060
Nicaragua,2022,236983
Niger,2017,3762
Niger,2018,4768
Niger,2019,5483
Niger,2020,22958
Niger,2021,24587
Niger,2022,21044
Nigeria,2017,330901
Nigeria,2018,361458
Nigeria,2019,407960
Nigeria,2020,426193
Nigeria,2021,466765
Nigeria,2022,488717
Niue,2017,24
Niue,2018,24
Niue,2019,25
Niue,2020,25
Niue,2021,11
Niue,2022,14
North Macedonia,2017,5691
North Macedonia,2018,4949
North Macedonia,2019,4310
North Macedonia,2020,3291
North Macedonia,2021,5824
North Macedonia,2022,5189
Norway,2017,40
Norway,2018,16
Norway,2019,16
Norway,2020,20
Norway,2021,28
Norway,2022,26
Oman,2017,61
Oman,2018,70
Oman,2019,101
Oman,2020,117
Oman,2021,124
Oman,2022,133
Pakistan,2017,205799
Pakistan,2018,207585
Pakistan,2019,203147
Pakistan,2020,194709
Pakistan,2021,189505
Pakistan,2022,181462
Palau,2017,5
Palestinian,2017,108489
Palestinian,2018,114189
Palestinian,2019,107790
Palestinian,2020,112609
Palestinian,2021,113226
Palestinian,2022,111051
Panama,2017,162
